,Episodes,Scores
0,0,931
1,1,567
2,2,1054
3,3,969
4,4,-441
5,5,-616
6,6,367
7,7,577
8,8,2659
9,9,-376
10,10,610
11,11,481
12,12,213
13,13,1546
14,14,89
15,15,-16
16,16,911
17,17,805
18,18,926
19,19,370
20,20,230
21,21,-40
22,22,661
23,23,194
24,24,665
25,25,4034
26,26,440
27,27,620
28,28,680
29,29,-1470
30,30,365
31,31,742
32,32,390
33,33,544
34,34,822
35,35,-2880
36,36,592
37,37,528
38,38,667
39,39,1650
40,40,694
41,41,29
42,42,294
43,43,-4294
44,44,1888
45,45,1038
46,46,58
47,47,814
48,48,355
49,49,-1248
50,50,1133
51,51,-2298
52,52,-266
53,53,-193
54,54,724
55,55,918
56,56,600
57,57,-2055
58,58,633
59,59,-15
60,60,1018
61,61,569
62,62,722
63,63,-2701
64,64,640
65,65,-630
66,66,845
67,67,249
68,68,-633
69,69,887
70,70,627
71,71,379
72,72,392
73,73,5045
74,74,629
75,75,-265
76,76,-870
77,77,536
78,78,362
79,79,695
80,80,2800
81,81,1710
82,82,1585
83,83,461
84,84,-1465
85,85,750
86,86,-1020
87,87,280
88,88,-627
89,89,-522
90,90,235
91,91,786
92,92,2374
93,93,-1135
94,94,787
95,95,878
96,96,-1880
97,97,-771
98,98,815
99,99,795
100,100,877
101,101,859
102,102,-2735
103,103,704
104,104,927
105,105,443
106,106,3058
107,107,-1252
108,108,-555
109,109,-768
110,110,2129
111,111,463
112,112,400
113,113,44
114,114,299
115,115,1650
116,116,557
117,117,1023
118,118,262
119,119,1094
120,120,185
121,121,168
122,122,-525
123,123,-741
124,124,-349
125,125,156
126,126,1592
127,127,152
128,128,846
129,129,1293
130,130,-52
131,131,-1027
132,132,-3700
133,133,806
134,134,3345
135,135,491
136,136,235
137,137,468
138,138,655
139,139,822
140,140,-1985
141,141,2155
142,142,550
143,143,1168
144,144,-471
145,145,-2435
146,146,890
147,147,384
148,148,343
149,149,1030
150,150,-255
151,151,-50
152,152,2223
153,153,1029
154,154,474
155,155,457
156,156,995
157,157,-902
158,158,574
159,159,460
160,160,1000
161,161,-679
162,162,665
163,163,388
164,164,890
165,165,380
166,166,527
167,167,-845
168,168,600
169,169,-1600
170,170,871
171,171,628
172,172,726
173,173,1608
174,174,859
175,175,-4865
176,176,27
177,177,223
178,178,247
179,179,915
180,180,825
181,181,-1545
182,182,763
183,183,782
184,184,-768
185,185,305
186,186,-1123
187,187,476
188,188,860
189,189,472
190,190,45
191,191,348
192,192,904
193,193,1164
194,194,530
195,195,457
196,196,199
197,197,-1570
198,198,67
199,199,445
200,200,-216
201,201,640
202,202,503
203,203,139
204,204,892
205,205,1312
206,206,-927
207,207,-5978
208,208,140
209,209,736
210,210,479
211,211,240
212,212,589
213,213,-793
214,214,990
215,215,425
216,216,472
217,217,525
218,218,647
219,219,-1236
220,220,1550
221,221,250
222,222,1140
223,223,621
224,224,884
225,225,-41
226,226,966
227,227,-1415
228,228,471
229,229,923
230,230,644
231,231,-462
232,232,-852
233,233,1305
234,234,688
235,235,760
236,236,-580
237,237,-444
238,238,500
239,239,461
240,240,878
241,241,435
242,242,890
243,243,759
244,244,689
245,245,625
246,246,1919
247,247,-401
248,248,1474
249,249,1275
250,250,1631
251,251,1175
252,252,523
253,253,524
254,254,-479
255,255,-275
256,256,865
257,257,1643
258,258,300
259,259,958
260,260,854
261,261,357
262,262,-1518
263,263,725
264,264,-333
265,265,-2956
266,266,-108
267,267,725
268,268,547
269,269,624
270,270,120
271,271,2021
272,272,653
273,273,703
274,274,859
275,275,605
276,276,-827
277,277,470
278,278,905
279,279,857
280,280,855
281,281,-2155
282,282,176
283,283,957
284,284,74
285,285,738
286,286,490
287,287,-854
